Type,Titre,Lieu,Equipe,Président,Intervenant,Date,Année,Mots_clés,Résumé,Langue,Lien,Note,Auteurs,Famille,,,,
Conference Proceedings,Towards Model Transformation from a CBM Model to CEP Rules to Support Predictive Maintenance,"Centre Génie Industriel (CGI), APSYS (Blagnac)","KTK-4064, DOCA-22, Engineering Sciences [physics]Conference papers",,SciTePress,25/02/2020,2020,"Maintenance, Knowledge Base, Model Transformation","Over the past decades, the development of predictive maintenance strategies, like Prognostics and Health Management (PHM), have brought new opportunities to the maintenance domain. However, implementing such systems addresses several challenges. First, all information related to the system description and failure definition must be collected and processed. In this regard, using an expert system (ES) seems interesting. The second challenge, when monitoring complex systems, is to deal with the high volume and velocity of the input data. To reduce them, Complex Event Processing (CEP) can be used to identify relevant events, based on predefined rules. These rules can be extracted from the ES knowledge base using model transformation. This process consists in transforming some concepts from a source to a target model using transformation rules. In this paper, we propose to transform a part of the knowledge from a condition-based maintenance (CBM) model into CEP rules. After further explain ing the motivations behind this work and defining the principles behind model-driven architecture and model transformation, the transformation from a CBM model to a “generic rules” model will be proposed. This model will then be transformed into an Event Processing Language (EPL) model. Examples will be given as illustrations for each transformation.",English,https://imt-mines-albi.hal.science/hal-02545409,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Sarazin, Alexandre, Truptil, Sébastien, Montarnal, Aurelie, Lamothe, Jacques, Commanay, Julien, Sagaspe, Laurent",Industrie du futur responsable,,,,
Conference Proceedings,Interpretation of Patients’ Location Data to Support the Application of Process Mining Notations,Centre Génie Industriel (CGI),"KTK-4055, DOCA-22, Engineering Sciences [physics]Conference papers",,SCITEPRESS - Science and Technology Publications,24/02/2020,2020,"Model-driven Engineering, Process Mining, Indoor Localization Systems (ILS), Patient Pathways","The application of indoor localization and process mining emerges as an intriguing tool for the researchers to address the structural issues related to the patient pathways inside healthcare organizations. However, there is a major gap in the literature. This is related to the lack of enough attention to the interpretation of location data. Therefore, as a contribution, this article presents the DIAG meta-model and relevant location data interpretation rules. This model-driven approach has been realized in the context of the R-IOSUITE application and it supports the further analyses by the process mining methods.",English,https://imt-mines-albi.hal.science/hal-02521655,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Araghi, Sina, Fontanili, Franck, Lamine, Elyes, Salatge, Nicolas, Benaben, Frederick",Ingénierie santé et bien-être,,,,
Conference Proceedings,Humanitarian Response Readiness Metric for More Effective Relief Operations,"Georgia Institute of Technology [Atlanta], Centre Génie Industriel (CGI)","KTK-4137, DOCA-20, Engineering Sciences [physics]Conference papers",,,22/04/2020,2020,"Humanitarian Supply Chains, Humanitarian Response Readiness, Humanitarian Logistics","Natural disasters are affecting millions of people every year and causing billions of dollars of damage. Humanitarian relief operations aim to alleviate the suffering of the victims after the disaster. Performance of humanitarian relief can be measured with its efficiency and effectiveness. Coverage and speed of humanitarian response are two main components of its effectiveness. In this paper, we are trying to measure the response readiness of a humanitarian supply chain for an immediate disaster, by developing a metric called “humanitarian response readiness”. With this metric, we are measuring the coverage and speed capabilities of the humanitarian supply chain together, with a priori measurement approach.",English,https://imt-mines-albi.hal.science/hal-02940609,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Metin Inan, Mahmut, Montreuil, Benoit, Faisal Ahmed, Mohammed, Lauras, Matthieu",Industrie du futur responsable,,,,
Conference Proceedings,Hardware architecture for the evaluation of BCP robustness indicators through massive data collection and interpretation,"Centre Génie Industriel (CGI), Institut national universitaire Champollion [Albi] (INUC)","KTK-4301, DOCA-20, Engineering Sciences [physics]Conference papers",,,23/05/2021,2021,"Business Continuity Plan, Social sciences, Risk Management, Robustness, Embedded Hardware","Recently, the concept of robustness measurement has become clearly important especially with the rise of risky events such as natural disasters and mortal pandemics. In this context, this paper proposes an overview of a hardware architecture for massive data collection in the aim of evaluating robustness indicators. This paper essentially addresses the theoretical and general problems that the scientific research is seeking to address in this area, offers a literature review of what already exists and, based on preliminary diagnosis of what the literature has, presents a new approach and some of the targeted findings with a focus on the leading aspects, having a primary objective of explaining the multiple aspects of this research work.",English,https://imt-mines-albi.hal.science/hal-03295458,"MINES-ALBI, EMAC, CGI, INUC, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Ben Amara, Oussema, Kamissoko, Daouda, Benaben, Frederick, Fijalkow, Ygal",Industrie du futur responsable,,,,
Conference Proceedings,Estimating the Number of Solutions of Cardinality Constraints through range and roots Decompositions,"Laboratoire des Sciences du Numérique de Nantes (LS2N), Théorie, Algorithmes et Systèmes en Contraintes (LS2N - équipe TASC), Centre Génie Industriel (CGI)","KTK-3939, DOCA-22, Computer Science [cs]/Artificial Intelligence [cs.AI], Computer Science [cs]/Operations Research [math.OC], Mathematics [math]/Combinatorics [math.CO], Engineering Sciences [physics]Conference papers",,,30/09/2019,2019,"Random graphs, Counting, Cardinality constraints","This paper introduces a systematic approach for estimating the number of solutions of cardinality constraints. A main difficulty of solutions counting on a specific constraint lies in the fact that it is, in general, at least as hard as developing the constraint and its propaga-tors, as it has been shown on alldifferent and gcc constraints. This paper introduces a probabilistic model to systematically estimate the number of solutions on a large family of cardinality constraints including alldifferent, nvalue, atmost, etc. Our approach is based on their decomposition into range and roots, and exhibits a general pattern to derive such estimates based on the edge density of the associated variable-value graph. Our theoretical result is finally implemented within the maxSD search heuristic, that aims at exploring first the area where there are likely more solutions.",English,https://hal.science/hal-02276566,"UNIV-NANTES, MINES-ALBI, CNRS, EC-NANTES, EMAC, UNAM, CGI, TDS-MACS, LS2N, LS2N-TASC, INSTITUTS-TELECOM, NANTES-UNIVERSITE, UNIV-NANTES-AV2022, NU-CENTRALE, INSTITUT-MINES-TELECOM","Lo Bianco, Giovanni, Lorca, Xavier, Truchet, Charlotte",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Towards a Framework for Federated Interoperability to Implement an Automated Model Transformation,"Centre Génie Industriel (CGI), Sylob","Part 4: Data and Knowledge Services, KTK-4185, DOCA-22, Engineering Sciences [physics]Conference papers",Angel Ortiz,Springer International Publishing,23/11/2020,2020,"Model-driven engineering, Automatic transformation, Federated interoperability, Interoperability evaluation","In order to adapt to changes in industrial world (customers and markets) and to competition, to create economic or strategic partnerships with external players or simply to integrate a connector to exchange information between the various services and software of a company, it is essential to have the necessary software tools (by development or deployment) that guarantee effective communication between the various parties, which are often heterogeneous and not known in advance, and overcome certain difficulties such as the multiplicity of information sources and the quality of the data.In such a context, the exchange or migration of data is a critical step. In order to facilitate the exchange, our approach aims at implementing federated interoperability with automated model transformation, supported by an interoperability evaluation, in order to ensure data retention despite the unforeseen uses (for example, some fields divert or mislabel) and to ensure their consistency during the transformation.",English,https://imt-mines-albi.hal.science/hal-03024821,"MINES-ALBI, EMAC, CGI, IFIP, IFIP-AICT, IFIP-TC, IFIP-TC5, IFIP-PROVE, INSTITUTS-TELECOM, IFIP-AICT-598, INSTITUT-MINES-TELECOM","Labreche, Mustapha, Montarnal, Aurelie, Truptil, Sébastien, Lorca, Xavier, Weill, Sébastien, Adi, Jean-Pièrre",Industrie du futur responsable,,,,
Conference Proceedings,Knowledge on demand: the future of decision support systems?,Centre Génie Industriel (CGI),"KTK-4864, DOCA-99, Engineering Sciences [physics]Conference papers",,,25/05/2024,2024,"Generative AI, Crisis Management, Knowledge Base, Information Management","The availability and quality of the information system supporting crisis management depends on the existence of up-to-date, comprehensive and reliable knowledge bases, despite the multidisciplinary nature of the information to be exchanged, the actions, and the decisions to be taken. This article proposes a method to benefit from pre-trained language models to automatically update these knowledge bases at both design time and run time. We offer a model-based extraction process and a dedicated automated validation process. These two contributions are illustrated and discussed around a case study: an emergency decision support system used to prepare for and respond to an unexpected mass gathering at an abandoned French aerial base.",English,https://imt-mines-albi.hal.science/hal-04618602,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Chasseray, Yohann, Conges, Aurélie, Fertier, Audrey, Barthe-Delanoë, Anne-Marie",Industrie du futur responsable,,,,
Conference Proceedings,"Introduction to the DIRECT minitrack (Disaster Information, Technology, and Resilience) in the Digital Government track","Centre Génie Industriel (CGI), IMAG, Université Paris Dauphine-PSL, Laboratoire d'analyse et modélisation de systèmes pour l'aide à la décision (LAMSADE), International University of Japan, Pennsylvania State University (Penn State)","KTK-4584, DOCA-20, Engineering Sciences [physics]Conference papers",,,04/01/2022,2022,,"After a year 2021 placed under the sign of the global pandemic, it is not surprising to find nearly a third of the articles selected for the DIRECT minitrackaddressing the subject of COVID-19 (30%). Overall, almost half of the articles in this edition of the DIRECT minitrack deal with communication betweenand among citizens (46%), two articles deal with the notion of evacuation (15%), and almost a quarter deal directly with resilience (23%). Finally, there are a few original topics that are not often covered in the minitrack DIRECT, such as cybersecurity or traffic management. The global feeling is that the next editions should probably slowly slide from instantaneous and short terms events mainly articles (e.g., earthquake) to long terms and continuous crisis articles (e.g. global warming and refugees), The DIRECT minitrack of the eGov track of HICSS 55 presents thirteen great papers addressing these issues but also these perspectives. The following presents each of these articles.",English,https://imt-mines-albi.hal.science/hal-04050557,"MINES-ALBI, CNRS, UNIV-DAUPHINE, EMAC, CGI, IRISA-D7, LAMSADE-DAUPHINE, PSL, INSTITUTS-TELECOM, UNIV-DAUPHINE-PSL, TEST3-HALCNRS, INSTITUT-MINES-TELECOM","Benaben, Frederick, Dugdale, Julie, Negre, Elsa, Sakurai, Mihoko, Tapia, Andrea",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Integrated Supply Chain Risk Management Index (ISCRi): Applying AHP and QFD,"University of Dubaï, MCF IUT de Rodez, Centre Génie Industriel (CGI), Al Ain University (AAU)","""© 2024 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, in any current or future media, including reprinting/republishing this material for advertising or promotional purposes, creating new collective works, for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works."", KTK-4943, DOCA-99, Computer Science [cs]/Other [cs.OH]Conference papers",,IEEE,01/07/2024,2024,"supply chain risk, vulnerability, exposure, susceptibility index, Analytic Hierarchy Process (AHP), Quality Function Deployment (QFD), probability index","In today's complex business world, assessing vulnerabilities in supply chains is crucial for effective risk management. This paper presents a novel framework for measuring supply chain risk, emphasizing the relationship between risk and vulnerability. The framework includes two key components: a detailed evaluation of supply chain vulnerabilities and an examination of risk factors influenced by management practices. Our research demonstrates that certain supply chain managerial practices could increase the likelihood of disruptions. In response, we have developed a new risk probability index to help mitigate these risks. By utilizing an integrative approach, we aim to enhance risk management strategies amidst disruptions. Employing fuzzy logic, the Analytic Hierarchy Process (AHP), and a customized Quality Function Deployment (QFD) approach, our research meticulously measures the likelihood of disruptions and the consequent vulnerability of the supply chain, resulting in a detailed and practical risk index. This study not only deepens our understanding of the complexities of supply chain weaknesses but also provides managers with a strategic tool for proactive risk assessment.",English,https://imt-mines-albi.hal.science/hal-04753933,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Lahmar, Arij, Galasso, François, Lamothe, Jacques, Chabchoub, Habib",Industrie du futur responsable,,,,
Conference Proceedings,Crisis Management Exercises in Virtual Reality,"Centre Génie Industriel (CGI), Immersive factory [France]","KTK-4072, DOCA-22, Engineering Sciences [physics]Conference papers",,"""© 2020 IEEE. Personal use of this material is permitted. Permission from IEEE must be obtained for all other uses, in any current or future media, including reprinting/republishing this material for advertising or promotional purposes, creating new collective works, for resale or redistribution to servers or lists, or reuse of any copyrighted component of this work in other works.”",22/03/2020,2020,"Human-centered computing, Human computer interaction (HCI), Interaction paradigms, Virtual reality, Virtual world training simulation, Virtual worlds software, Software organization and properties, Software and its engineering, training, coordination","In crisis management, critical sites are required to carry out regular exercises to be prepared for a potential crisis. However, those exercises present a lot of drawbacks that reduce their efficiency: among other things, they are not frequent enough, not adjustable enough, too demanding and they are very expensive. The EGCERSIS project aims at using virtual reality to make fully configurable exercises to train in digital twins of actual critical sites. In this article, we present this project through a simple use case of a crisis in a subway station, involving three actors of crisis management.",English,https://imt-mines-albi.hal.science/hal-02586166,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Conges, Aurélie, Evain, Alexis, Benaben, Frederick, Chabiron, Olivier, Rebiere, Sebastien",Industrie du futur responsable,,,,
Conference Proceedings,Vers un système de recommandation personnalisé de services métiers dédiés à la prévention de fragilité chez les aînés,"Centre Génie Industriel (CGI), Institut national universitaire Champollion [Albi] (INUC), Laboratoire de Génie Chimique (LGC), Berger-Levrault","KTK-4694, DOCA-00, Engineering Sciences [physics]Conference papers",,,14/06/2023,2023,"Recommendation systems, Elderly, Frailty, Recommendation algorithm, Personalized recommendations, Systèmes de recommandation, Personnes âgées, Fragilité, Algorithme de recommandation, Recommandations personnalisées","La fragilité est un syndrome clinique lié au vieillissement qui caractérise un état intermédiaire entre la santé robuste et la perte d’autonomie. Pour préserver les capacités de la personne âgée et éviter la dépendance, il est important de repérer et d’évaluer sa fragilité. Cette démarche s’inscrit dans une approche de prévention de la dépendance, qui repose sur une compréhension approfondie de sa situation médicale, sociale et de son environnement de vie. Cette compréhension est généralement acquise grâce à une collecte importante de données à l’aide d’enquêtes d’évaluation standardisées. Les données obtenues sont ensuite analysées afin de fournir des recommandations personnalisées aux modes de vie des bénéficiaires. Notre article expose le concept de fragilité ainsi qu’un système de recommandation personnalisé qui a pour objectif d’aider les citoyens à prévenir la fragilité. Ce systèmeutilise une approche novatrice d’auto-évaluation destinée aux personnes âgées, sans que cela n’implique systématiquement le recours à des professionnels de la santé.",French,https://imt-mines-albi.hal.science/hal-04146179,"UNIV-TLSE3, MINES-ALBI, CNRS, EMAC, CGI, INUC, INSTITUTS-TELECOM, LGC, TOULOUSE-INP, UNIV-UT3, UT3-INP, UT3-TOULOUSEINP, INSTITUT-MINES-TELECOM","Frikha, Ghassen, Lorca, Xavier, Pingaud, Hervé, Bortolaso, Christophe, Borgiel, Katarzyna, Lamine, Elyes",Ingénierie santé et bien-être,,,,
Conference Proceedings,Towards a Digital Collaborative Framework for an Efficient Medication Errors Management,"Centre Génie Industriel (CGI), Institut Supérieur d'informatique et des Techniques de Communication [Hammam Sousse] (ISITC), Ecole d'ingénieurs ISIS - Informatique et Systèmes d'Information pour la Santé","2023 IFIP International Federation for Information Processing, KTK-4677, DOCA-20, Engineering Sciences [physics]Conference papers",,Springer Nature Switzerland,27/09/2023,2023,"Collaborative Medication Use Process, Care Pathway, Medication Error, Risk Management, Digital Framework","The Medication Use Process in hospitals is one of the crucial processes of the care pathways. It is defined as a highly intricate and collaborative process aiming to deliver effective and safe patient care. Indeed, it involves different stakeholders working together to provide the best treatment to the patient and manage several health conditions. This complexity can give rise to medication errors, leading to serious patient health-related consequences. Being fully aware of the significance and complexity of this process, in this work, we propose a digital collaborative framework to manage medication errors. The main goals of this framework are to assist healthcare organizations in their risk management sessions, maximize the effectiveness of the care provided, and improve patient safety and quality of care",English,https://imt-mines-albi.hal.science/hal-04221813,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Touati, Hanae, Thabet, Rafika, Fontanili, Franck, Lamine, Elyes",Ingénierie santé et bien-être,,,,
Conference Proceedings,Simulation-Based Framework for Assessing Synchromodal Transportation Solutions in Low-Density Ecosystems,"Centre Génie Industriel (CGI), IMT École nationale supérieure des Mines d'Albi-Carmaux (IMT Mines Albi)","KTK-4927, DOCA-29, Computer Science [cs]/Other [cs.OH]Conference papers",,Springer Nature Switzerland,28/10/2024,2024,"Transportation, Physical Internet, Simulation, Synchromodality, Collaborative Networks","Transport and mobility play a crucial role in collaborative networks, facilitating access to resources. While this strengthens economic and social integration, the expansion of collaborative networks poses major challenges in terms of effectiveness, sustainability and equity. Improving transport services is consequently crucial, particularly in sparsely populated areas, to reduce economic and social disparities. If urban areas benefit from Smart City principles to optimize the flow of people and goods, rural areas are often marginalized. Some authors have demonstrated qualitatively the potentiality of using Physical Internet and synchromodality paradigms to change this situation. But no quantitative demonstration has been done yet. The purpose of this research work is to design and present our multi-agent vision of a simulation framework for evaluating synchromodal transport solutions in low-density ecosystems. Composed of four components (demand estimator, transportation planner, simulator engine and performance assessor), this framework is intended to be tested on ECOTRAIN case study.",English,https://imt-mines-albi.hal.science/hal-04732109,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Cerabona, Thibaut, Cristaldo Jimenez, Liz Araceli, Bouab, Imane, Petitdemange, Eva, Lorca, Xavier, Lauras, Matthieu",Industrie du futur responsable,,,,
Conference Proceedings,An innovative approach for project launch decision-making in risk and multi-criteria situations,Centre Génie Industriel (CGI),"KTK-4095, DOCA-00, Engineering Sciences [physics]Conference papers",,,27/05/2020,2020,"Decision, Criteria, Risk, Multicriteria, Project, Scenario","The realization of infrastructures and the deployment of processes can follow projectformalism. Generally, a project goes through a design and a realization phase. Betweenthese two phases, there is a crucial milestone: Launching the project, which is not at all an easy decision and constitutes a real problem. The main reasons to this are the numerous numbers of criteria (For Technical, Economic, Social, Environmental dimensions) and risks in the sense of feared event. Criteria and risks are most of the time not considered due to lack of time (for formalization) and the difficulty to handle them. The objective of this paper is to propose a relevant approach to make the decision of launching the project or not. The proposal outlined is innovative in that it can consider indicators based on several appropriate criteria, the associated risks and their ways of management. The fact to consider several criteria and risks, increases the probability of making the right decision. The proposed approach allows managing risks by determining acceptable scenarios, thus maximizing project aptitude to fulfil the objectives.",English,https://imt-mines-albi.hal.science/hal-02894007,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Kamissoko, Daouda, Marmier, François, Gourc, Didier, Clément, Antoine",Industrie du futur responsable,,,,
Conference Proceedings,Continuuous assessment of the resilience of critical infrastructure: the Nantes ring road flood experimental scenario,"Centre d'Etudes et d'Expertise sur les Risques, l'Environnement, la Mobilité et l'Aménagement - Direction Ouest (Cerema Direction Ouest), Direction interdépartementale des Routes Ouest (DIRO), Centre Génie Industriel (CGI)","KTK-4297, DOCA-00, Engineering Sciences [physics]Conference papers",,Budapest University of Technology and Economics,22/06/2021,2021,"flooding, critical infrastructures, experimental scenario","Flooding is frequent on the Nantes ring road and disrupts users dependent on this mode of transport directly or indirectly. To deal with them, the road operator has defined preventive and curative measures based essentially on the flow of the river involved in the submergence of the roadway. The RESIIST (Resilience of Interconnected Infrastructures and Systems) research project aims to develop a methodology and tools to assess the resilience of Critical Infrastructures (within the meaning of European Directive 2008/114/EC), of which we find the ring road. In order to test them, a scenario will be used to simulate the events likely to cause flooding, characterise the disturbances caused by these events and the interactions with adjacent road infrastructures and present a decision aidingbased on the road operator's criteria. RESIIST can contribute to improving the resilience of critical infrastructures by enabling stakeholders to continuously monitor data from the context, to interpret them and deduce the disruption’s risks on infrastructure and territory and finally to benefit from proposals for solutions adapted and corresponding to their decision criteria. More modestly, this scenario could serve as a support in discussions on possible work concerning the ring road and the crisis management protocols.",English,https://imt-mines-albi.hal.science/hal-03289899,"MINES-ALBI, EMAC, CGI, CEREMA, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Dolidon, Hélène, Lilas, Lionel, Kamissoko, Daouda",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Towards a Collaborative and Open Supply Chain Management Operating Services Platform,"Centre Génie Industriel (CGI), School of Industrial and Systems Engineering [Georgia Tech] (ISyE), Technische Universität Munchen - Technical University Munich - Université Technique de Munich (TUM)","Part 16: Sentient Immersive Response Network, KTK-4360, DOCA-22, Engineering Sciences [physics]Conference papers, TC 5, WG 5.5",Hamideh Afsarmanesh,Springer International Publishing,22/11/2021,2021,"Supply chainmanagement, Collaborative information systems, Decision support systems, Uncertainty, Risk management","Supply Chain (SC) uncertainty perspectives must now be translated into practice. SC entities must accept crises and catastrophes as normal situations and increase significantly their culture of SC risk management. They should adapt their decision-support systems to be able considering disruptions as regular inputs, whether small, large or huge. Collaboration should not be limited to few entities of a SC, but to the whole SC. Concrete tools allowing entities to share vital information to give visibility, ensure synchronization of the material flows, align management of emergencies and use of critical resources must be developed and used. That is the purpose of this paper. Practically, aframework for SC risk and opportunity management and a Collaborative and Open Supply Chain Management Operating Services (COSMOS) platform are presented. An illustrative case is developed to highlight the potential benefits of the proposal on one service example.",English,https://hal-emse.ccsd.cnrs.fr/emse-03346653,"EMSE, MINES-ALBI, EMAC, CGI, IFIP, IFIP-AICT, IFIP-TC, IFIP-TC5, IFIP-WG, IFIP-WG5-5, IFIP-PROVE, INSTITUTS-TELECOM, PRO-VE-2021, IFIP-AICT-629, INSTITUT-MINES-TELECOM","Lauras, Matthieu, Oger, Raphaël, Li, Jiayao, Montreuil, Benoit, Kohl, Markus, Habl, Andreas, Lesbegueries, Julien",Industrie du futur responsable,,,,
Conference Proceedings,Étude d'impact du paramétrage des temps de défilement sur la performance d'un déploiement de la méthode DDMRP,"Département de Mathématiques et de Génie Industriel (MAGI), Centre Génie Industriel (CGI)","KTK-3901, DOCA-00, Engineering Sciences [physics]Conference papers",,,25/06/2019,2019,"DDMRP, lead time, parameter setting, temps de défilement, paramétrage","Alors que depuis des décennies, les entreprises cherchent avec peu de succès à faire coexister flux poussé, représenté par le MRP, et flux tiré issu du Kanban, des auteurs proposent depuis 2011 une approche originale : le DDMRP. Elle fait un pont entre les deux approches. Cette méthode est centrée sur trois types de temps de défilement (lead times): lead time classique (temps maximum de passage d’un ordre dans l’atelier), le lead time cumulé et le lead time découplé. Cet article étudie l’impact de la définition des lead times sur les performances du DDMRP. Un plan d’expérience modélisant des variations de la demande est fourni à un simulateur Aréna d’un atelier de type flow-shop. Les résultats montrent qu’un choix imprécis des lead times initiaux induit une baisse des performances du système. Les critères de performance utilisés sont le taux de service et le volume du stock généré (en-cours et produits finis). Finalement, ils montrent que l’on peut choisir d’avoir des lead times par produit aussi bien que par famille avec des résultats proches. Ces résultats permettront un meilleur paramétrage de la méthode DDMRP.",English,https://imt-mines-albi.hal.science/hal-02200540,"MINES-ALBI, EMAC, CGI, INSTITUTS-TELECOM, INSTITUT-MINES-TELECOM","Dessevre, Guillaume, Martin, Guillaume, Pierre, Baptiste, Lamothe, Jacques, Lauras, Matthieu",Ingénierie santé et bien-être,,,,
Conference Proceedings,Actionability in a Situation Awareness world: Implications for social media processing system design,"Centre Génie Industriel (CGI), University of Cincinnati (UC), Pennsylvania State University (Penn State)","KTK-4303, DOCA-20, Engineering Sciences [physics]Conference papers",,,23/05/2021,2021,"Actionable Information, Situation Awareness, Social Media, Crisis Management","The field of crisis informatics now has a decade-long history of designing tools that leverage social media to support decision-makers situation awareness. Despite this history, there remains few examples of these tools adopted by practitioners. Recent fieldwork with public safety answering points and first responders has led to an awareness of the need for tools that gather actionable information, rather than situational awareness alone. This paper contributes to an ongoing discussion about these concepts by proposing a model that embeds the concept of actionable information into Endsley's model of situation awareness. We also extend the insights of this model to the design implications of future information processing systems.",English,https://imt-mines-albi.hal.science/hal-03295498,"MINES-ALBI, EMAC, CGI, IRISA-D7, INSTITUTS-TELECOM, ANR, INSTITUT-MINES-TELECOM","Coche, Julien, Kropczynski, Jess, Montarnal, Aurélie, Tapia, Andrea, Benaben, Frederick",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Social media processing in crisis response : an attempt to shift from data to information exploitation.,"Centre Génie Industriel (CGI), Pennsylvania State University (Penn State)","KTK-4208, DOCA-20, Engineering Sciences [physics]Conference papers",,,04/01/2021,2021,"Disaster Information, Resilience, for Emergency and Crisis Technologies, crisis, metamodel, natural language processing, social media","Information about the ongoing events is of the utmost importance during emergencies. Previous work in crisis informatics found new ways to pull data from unexploited sources, such as social media. But while the volume of information is crucial, the way the information is reported and provided becomes increasingly important as the volume grows. Yet, little has been achieved on information management. This article proposes a way to automatically organize information from social media data up to decision-makers. This organization is enabled by a metamodel \cite{benaben_metamodel_2016} designed to model crucial information in crises. The article is organized as follows. First, the organization of current social media processing systems is presented. Then, the article presents the metamodel used and how it is relevant to organized information in crisis events through the lens of the 6W's \cite{kropczynski_identifying_2018}. Finally, it walks through the implementation of the proposal based on the two previous parts.",English,https://imt-mines-albi.hal.science/hal-03095502,"MINES-ALBI, EMAC, CGI, IRISA-D7, INSTITUTS-TELECOM, ANR, INSTITUT-MINES-TELECOM","Coche, Julien, Romera Rodriguez, Guillermo, Montarnal, Aurelie, Tapia, Andrea, Benaben, Frederick",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Actionable Collaborative Common Operational Picture in Crisis Situation: A Comprehensive Architecture Powered with Social Media Data,"Centre Génie Industriel (CGI), College of Information Sciences and Technology","Part 4: Managing Disruption in Collaboration, KTK-3983, DOCA-22, Computer Science [cs], Computer Science [cs]/Document and Text ProcessingConference papers",Dario Antonelli,Springer International Publishing,23/09/2019,2019,"Crisis management, Metamodel, Natural Language Processing, Social Media","Previous works in social media processing during crisis management highlight a paradox: citizens are extensively sharing data from the field of the crisis, while decision-makers are looking for information about the emerging risks they need to address. Several tools already exist to help taking advantage of this new important source of data. However, few made their way to decision-makers, mainly because they remain resource-consuming. That is why the question of a tool, able to process social media in near-real time, to deliver actionable information from the field is still pending. Based on a state of the art of the Natural Language Processing tools and systems dedicated to the use of social media data to improve the situational awareness of the decision-makers, this paper aims to describe a way to provide them with a first comprehensive system which asset is to completely address the challenge, from the collection of the data to their interpretation and understanding and finally offer situational models. In this sense, the paper focuses on the thorough detail of the business and consequent technical challenges that are raised, and a work in progress proposal to address them in a comprehensive manner.",English,https://imt-mines-albi.hal.science/hal-02406449,"MINES-ALBI, EMAC, CGI, IFIP, IFIP-AICT, IRISA-D7, IFIP-TC, IFIP-TC5, IFIP-WG, IFIP-WG5-5, IFIP-PROVE, INSTITUTS-TELECOM, IFIP-AICT-568, ANR, INSTITUT-MINES-TELECOM","Coche, Julien, Montarnal, Aurelie, Tapia, Andrea, Benaben, Frederick",Souveraineté numérique et sobriété,,,,
Conference Proceedings,Automatic Information Retrieval from Tweets: A Semantic Clustering Approach,"Centre Génie Industriel (CGI), Pennsylvania State University (Penn State)","KTK-4118, DOCA-00, Engineering Sciences [physics]Conference papers",,,24/05/2020,2020,"BERT, Word Embedding, Information Retrieval","Much has been said about the value of social mediamessages for emergency services. The new uses related tothese platforms bring users to share information, otherwise unknown in crisis events. Thus, many studies have been performedin orderto identify tweets relating toa crisis event or to classify these tweets according to certain categories. However, determining the relevant information contained in the messages collected remains the responsibility of the emergency services. In this article, we introducethe issue of classifying the information contained in the messages. To do so, we use classes such as those usedby the operators in the call centers.Particularly we show that this problem is related to named entities recognition on tweets. We then explain that a semi-supervised approach might be beneficial,as the volume of data to perform this task is low.In a second part, we presentsome of the challenges raisedby this problematicand different ways to answer it.Finally, we explore one of them and its possible outcomes.",English,https://telecom-paris.hal.science/hal-02926851,"MINES-ALBI, TELECOM-PARISTECH, EMAC, CGI, IRISA-D7, INSTITUTS-TELECOM, ANR, INSTITUT-MINES-TELECOM","Coche, Julien, Montarnal, Aurelie, Tapia, Andrea, Benaben, Frederick",Souveraineté numérique et sobriété,,,,
